id,action block 1,context,simplified sentence 1,partial start time 1,owner 1,original action 1,most similar action 1,speed 1,duration 1,rotation 1,translation 1,target 1,prop 1,location modifier 1,direction modifier 1,manner 1,emotion 1,Action Block 2,simplified sentence 2,partial start time 2,owner 2,original action 2,most similar action 2,speed 2,duration 2,rotation 2,translation 2,target 2,prop 2,location modifier 2,direction modifier 2,manner 2,emotion 2,Action Block 3,simplified sentence 3,partial start time 3,owner 3,original action 3,most similar action 3,speed 3,duration 3,rotation 3,translation 3,target 3,prop 3,location modifier 3,direction modifier 3,manner 3,emotion 3,Action Block 4,simplified sentence 4,partial start time 4,owner 4,original action 4,most similar action 4,speed 4,duration 4,rotation 4,translation 4,target 4,prop 4,location modifier 4,direction modifier 4,manner 4,emotion 4,Action Block 5,simplified sentence 5,partial start time 5,owner 5,original action 5,most similar action 5,speed 5,duration 5,rotation 5,translation 5,target 5,prop 5,location modifier 5,direction modifier 5,manner 5,emotion 5,Action Block 6,simplified sentence 6,partial start time 6,owner 6,original action 6,most similar action 6,speed 6,duration 6,rotation 6,translation 6,target 6,prop 6,location modifier 6,direction modifier 6,manner 6,emotion 6,Action Block 7,simplified sentence 7,partial start time 7,owner 7,original action 7,most similar action 7,speed 7,duration 7,rotation 7,translation 7,target 7,prop 7,location modifier 7,direction modifier 7,manner 7,emotion 7,Action Block 8,simplified sentence 8,partial start time 8,owner 8,original action 8,most similar action 8,speed 8,duration 8,rotation 8,translation 8,target 8,prop 8,location modifier 8,direction modifier 8,manner 8,emotion 8,Action Block 9,simplified sentence 9,partial start time 9,owner 9,original action 9,most similar action 9,speed 9,duration 9,rotation 9,translation 9,target 9,prop 9,location modifier 9,direction modifier 9,manner 9,emotion 9,Action Block 10,simplified sentence 10,partial start time 10,owner 10,original action 10,most similar action 10,speed 10,duration 10,rotation 10,translation 10,target 10,prop 10,location modifier 10,direction modifier 10,manner 10,emotion 10,Action Block 11,simplified sentence 11,partial start time 11,owner 11,original action 11,most similar action 11,speed 11,duration 11,rotation 11,translation 11,target 11,prop 11,location modifier 11,direction modifier 11,manner 11,emotion 11,Action Block 12,simplified sentence 12,partial start time 12,owner 12,original action 12,most similar action 12,speed 12,duration 12,rotation 12,translation 12,target 12,prop 12,location modifier 12,direction modifier 12,manner 12,emotion 12
56,Rex suddenly turns timid.,"REX
	ROOAAAARR!!!
		WOODY
unaffected
	Oh, how ya doin', Rex?",Rex suddenly turns timid.,0,Rex,turns,stand,neutral,neutral,No,No,,,,,suddenly,timid,Rex suddenly turns timid.,,,,,,,,,,,,,,,,Rex suddenly turns timid.,,,,,,,,,,,,,,,,Rex suddenly turns timid.,,,,,,,,,,,,,,,,Rex suddenly turns timid.,,,,,,,,,,,,,,,,Rex suddenly turns timid.,,,,,,,,,,,,,,,,Rex suddenly turns timid.,,,,,,,,,,,,,,,,Rex suddenly turns timid.,,,,,,,,,,,,,,,,Rex suddenly turns timid.,,,,,,,,,,,,,,,,Rex suddenly turns timid.,,,,,,,,,,,,,,,,Rex suddenly turns timid.,,,,,,,,,,,,,,,,Rex suddenly turns timid.,,,,,,,,,,,,,,,
57,"Woody snaps out of his trance and rushes over to the podium. The toys crowd together as Woody steps up to the podium. MIKE, a toy tape recorder, waddles up next to Woody and indicates his microphone.","SLINKY
	Hey, Woody! C'mon!",Woody snaps out of his trance.,0,Woody,snaps out,lookAround,fast ,short,Yes,No,trance,,,,snaps,,"Woody snaps out of his trance and rushes over to the podium. The toys crowd together as Woody steps up to the podium. MIKE, a toy tape recorder, waddles up next to Woody and indicates his microphone.",Woody rushes over to the podium.,1,Woody,rushes,go,fast ,short,Yes,Yes,podium,,,,,,"Woody snaps out of his trance and rushes over to the podium. The toys crowd together as Woody steps up to the podium. MIKE, a toy tape recorder, waddles up next to Woody and indicates his microphone.",The toys crowd together.,2,toys,crowd,stand,neutral,neutral,No,Yes,,,in front of podium,,together,,"Woody snaps out of his trance and rushes over to the podium. The toys crowd together as Woody steps up to the podium. MIKE, a toy tape recorder, waddles up next to Woody and indicates his microphone.",Woody steps up to the podium.,3,Woody,steps,goForward,fast ,short,Yes,Yes,podium,,,up,,,"Woody snaps out of his trance and rushes over to the podium. The toys crowd together as Woody steps up to the podium. MIKE, a toy tape recorder, waddles up next to Woody and indicates his microphone.",Mike waddles up next to Woody.,4,Mike,waddles,goForward,slow,short,Yes,Yes,Woody,,next to Woody,,,,"Woody snaps out of his trance and rushes over to the podium. The toys crowd together as Woody steps up to the podium. MIKE, a toy tape recorder, waddles up next to Woody and indicates his microphone.",Mike indicates Woody's microphone.,5,Mike,indicates,give,neutral,neutral,Yes,No,microphone,,,,,,"Woody snaps out of his trance and rushes over to the podium. The toys crowd together as Woody steps up to the podium. MIKE, a toy tape recorder, waddles up next to Woody and indicates his microphone.",,,,,,,,,,,,,,,,"Woody snaps out of his trance and rushes over to the podium. The toys crowd together as Woody steps up to the podium. MIKE, a toy tape recorder, waddles up next to Woody and indicates his microphone.",,,,,,,,,,,,,,,,"Woody snaps out of his trance and rushes over to the podium. The toys crowd together as Woody steps up to the podium. MIKE, a toy tape recorder, waddles up next to Woody and indicates his microphone.",,,,,,,,,,,,,,,,"Woody snaps out of his trance and rushes over to the podium. The toys crowd together as Woody steps up to the podium. MIKE, a toy tape recorder, waddles up next to Woody and indicates his microphone.",,,,,,,,,,,,,,,,"Woody snaps out of his trance and rushes over to the podium. The toys crowd together as Woody steps up to the podium. MIKE, a toy tape recorder, waddles up next to Woody and indicates his microphone.",,,,,,,,,,,,,,,,"Woody snaps out of his trance and rushes over to the podium. The toys crowd together as Woody steps up to the podium. MIKE, a toy tape recorder, waddles up next to Woody and indicates his microphone.",,,,,,,,,,,,,,,
58,The toys LAUGH and SNICKER.,"HAMM
	Moving buddy?! You can't be serious!
		REX
	Well I didn't know we were supposed to have one already.
		MR. POTATO HEAD
waving his arm out its socket
	Do we have to hold hands?",The toys laugh.,0,toys,laugh,laugh,neutral,neutral,Yes,No,,,,,,,The toys LAUGH and SNICKER.,The toys snicker.,0,toys,snicker,laugh,,,,,,,,,,,The toys LAUGH and SNICKER.,,,,,,,,,,,,,,,,The toys LAUGH and SNICKER.,,,,,,,,,,,,,,,,The toys LAUGH and SNICKER.,,,,,,,,,,,,,,,,The toys LAUGH and SNICKER.,,,,,,,,,,,,,,,,The toys LAUGH and SNICKER.,,,,,,,,,,,,,,,,The toys LAUGH and SNICKER.,,,,,,,,,,,,,,,,The toys LAUGH and SNICKER.,,,,,,,,,,,,,,,,The toys LAUGH and SNICKER.,,,,,,,,,,,,,,,,The toys LAUGH and SNICKER.,,,,,,,,,,,,,,,,The toys LAUGH and SNICKER.,,,,,,,,,,,,,,,
59,"While Slinky speaks, Potato Head takes off his mouth and mimes kissing his own butt.","REX
	What?! Whadda ya mean, the party's today?! His birthday's not 'til next week!!
		HAMM
	What's going on down there? Is Mom losing her marbles?!
		WOODY
	Well, obviously she wanted to have the party before the move. I'm not worried. You shouldn't be worried.
		MR. POTATO HEAD
	Of course Woody ain't worried! He's been Andy's favorite since kindergarten!
		SLINKY
	Hey, hey! Come on, Potato Head! If Woody says it's all right, then, well, darnit, it's good enough for me. Woody has never steered us wrong before.",Slinky speaks.,0,Slinky,speaks,talk,neutral,neutral,Yes,No,,,,,,,"While Slinky speaks, Potato Head takes off his mouth and mimes kissing his own butt.",Potato Head takes off his mouth.,0,Potato Head,takes off,touch,neutral,neutral,Yes,No,mouth,,,,,,"While Slinky speaks, Potato Head takes off his mouth and mimes kissing his own butt.",Potato Head mimes kissing his own butt.,1,Potato Head,kissing,kiss,neutral,neutral,Yes,No,butt,,,,,,"While Slinky speaks, Potato Head takes off his mouth and mimes kissing his own butt.",,,,,,,,,,,,,,,,"While Slinky speaks, Potato Head takes off his mouth and mimes kissing his own butt.",,,,,,,,,,,,,,,,"While Slinky speaks, Potato Head takes off his mouth and mimes kissing his own butt.",,,,,,,,,,,,,,,,"While Slinky speaks, Potato Head takes off his mouth and mimes kissing his own butt.",,,,,,,,,,,,,,,,"While Slinky speaks, Potato Head takes off his mouth and mimes kissing his own butt.",,,,,,,,,,,,,,,,"While Slinky speaks, Potato Head takes off his mouth and mimes kissing his own butt.",,,,,,,,,,,,,,,,"While Slinky speaks, Potato Head takes off his mouth and mimes kissing his own butt.",,,,,,,,,,,,,,,,"While Slinky speaks, Potato Head takes off his mouth and mimes kissing his own butt.",,,,,,,,,,,,,,,,"While Slinky speaks, Potato Head takes off his mouth and mimes kissing his own butt.",,,,,,,,,,,,,,,
60,"At first, the kid's present appears to be a little box, but then the kid turns the present is four feet long. The toys SCREAM.","REX
	They're getting bigger.
		SLINKY
	Wait! There's a nice little one over there!",The kid's present is a little box.,0,present,is,look,neutral,neutral,No,No,box,,,,,,"At first, the kid's present appears to be a little box, but then the kid turns the present is four feet long. The toys SCREAM.","When the kid turns, the present is four feet long.",1,kid,turns,turn,fast ,neutral,Yes,No,present,,,,,,"At first, the kid's present appears to be a little box, but then the kid turns the present is four feet long. The toys SCREAM.",The toys scream.,2,toys,scream,shout,fast ,short,Yes,No,,,,,,,"At first, the kid's present appears to be a little box, but then the kid turns the present is four feet long. The toys SCREAM.",,,,,,,,,,,,,,,,"At first, the kid's present appears to be a little box, but then the kid turns the present is four feet long. The toys SCREAM.",,,,,,,,,,,,,,,,"At first, the kid's present appears to be a little box, but then the kid turns the present is four feet long. The toys SCREAM.",,,,,,,,,,,,,,,,"At first, the kid's present appears to be a little box, but then the kid turns the present is four feet long. The toys SCREAM.",,,,,,,,,,,,,,,,"At first, the kid's present appears to be a little box, but then the kid turns the present is four feet long. The toys SCREAM.",,,,,,,,,,,,,,,,"At first, the kid's present appears to be a little box, but then the kid turns the present is four feet long. The toys SCREAM.",,,,,,,,,,,,,,,,"At first, the kid's present appears to be a little box, but then the kid turns the present is four feet long. The toys SCREAM.",,,,,,,,,,,,,,,,"At first, the kid's present appears to be a little box, but then the kid turns the present is four feet long. The toys SCREAM.",,,,,,,,,,,,,,,,"At first, the kid's present appears to be a little box, but then the kid turns the present is four feet long. The toys SCREAM.",,,,,,,,,,,,,,,
61,The toys turn inside and look down at Woody.,"WOODY
	Alright! Alright!",The toys turn inside.,0,toys,turn,turn,neutral,short,Yes,No,,,,inside,,,The toys turn inside and look down at Woody.,The toys look down at Woody.,1,toys,look down,lookDown,neutral,short,Yes,No,Woody,,,down,,,The toys turn inside and look down at Woody.,,,,,,,,,,,,,,,,The toys turn inside and look down at Woody.,,,,,,,,,,,,,,,,The toys turn inside and look down at Woody.,,,,,,,,,,,,,,,,The toys turn inside and look down at Woody.,,,,,,,,,,,,,,,,The toys turn inside and look down at Woody.,,,,,,,,,,,,,,,,The toys turn inside and look down at Woody.,,,,,,,,,,,,,,,,The toys turn inside and look down at Woody.,,,,,,,,,,,,,,,,The toys turn inside and look down at Woody.,,,,,,,,,,,,,,,,The toys turn inside and look down at Woody.,,,,,,,,,,,,,,,,The toys turn inside and look down at Woody.,,,,,,,,,,,,,,,
62,Woody jumps up onto Andy's bed and turns to the Sargent on the nightstand.,"WOODY
continued
	If I send out the troops, will you all calm down?
		REX
	Yes! Yes! We promise!
		WOODY
	Okay, save your batteries!
		HAMM
	Eh, very good, Woody. That's using the old noodle.",Woody jumps up on Andy's bed.,0,Woody,jumps up,jump,fast ,short,Yes,Yes,bed.,,andy's bed,up,,,Woody jumps up onto Andy's bed and turns to the Sargent on the nightstand.,Woody turns to the Sargent on the nightstand.,1,Woody,turns,turn,neutral,short,Yes,No,Sargent,nightstand,nightstand,,,,Woody jumps up onto Andy's bed and turns to the Sargent on the nightstand.,,,,,,,,,,,,,,,,Woody jumps up onto Andy's bed and turns to the Sargent on the nightstand.,,,,,,,,,,,,,,,,Woody jumps up onto Andy's bed and turns to the Sargent on the nightstand.,,,,,,,,,,,,,,,,Woody jumps up onto Andy's bed and turns to the Sargent on the nightstand.,,,,,,,,,,,,,,,,Woody jumps up onto Andy's bed and turns to the Sargent on the nightstand.,,,,,,,,,,,,,,,,Woody jumps up onto Andy's bed and turns to the Sargent on the nightstand.,,,,,,,,,,,,,,,,Woody jumps up onto Andy's bed and turns to the Sargent on the nightstand.,,,,,,,,,,,,,,,,Woody jumps up onto Andy's bed and turns to the Sargent on the nightstand.,,,,,,,,,,,,,,,,Woody jumps up onto Andy's bed and turns to the Sargent on the nightstand.,,,,,,,,,,,,,,,,Woody jumps up onto Andy's bed and turns to the Sargent on the nightstand.,,,,,,,,,,,,,,,
63,The green army man hops down to the floor where a 'BUCKET O' SOLDIERS' sits.,"WOODY
	Sargent. Establish a recon post downstairs. Code red. You know what to do.
		SARGENT
	Yes SIR!",The green army man hops down to the floor.,0,green army  man,hops,jump,fast ,short,Yes,Yes,floor,,on the floor,down,,,The green army man hops down to the floor where a 'BUCKET O' SOLDIERS' sits.,A bucket of soldiers sits.,1,bucket,sits,sit,neutral,neutral,No,No,,soldiers,,,,,The green army man hops down to the floor where a 'BUCKET O' SOLDIERS' sits.,,,,,,,,,,,,,,,,The green army man hops down to the floor where a 'BUCKET O' SOLDIERS' sits.,,,,,,,,,,,,,,,,The green army man hops down to the floor where a 'BUCKET O' SOLDIERS' sits.,,,,,,,,,,,,,,,,The green army man hops down to the floor where a 'BUCKET O' SOLDIERS' sits.,,,,,,,,,,,,,,,,The green army man hops down to the floor where a 'BUCKET O' SOLDIERS' sits.,,,,,,,,,,,,,,,,The green army man hops down to the floor where a 'BUCKET O' SOLDIERS' sits.,,,,,,,,,,,,,,,,The green army man hops down to the floor where a 'BUCKET O' SOLDIERS' sits.,,,,,,,,,,,,,,,,The green army man hops down to the floor where a 'BUCKET O' SOLDIERS' sits.,,,,,,,,,,,,,,,,The green army man hops down to the floor where a 'BUCKET O' SOLDIERS' sits.,,,,,,,,,,,,,,,,The green army man hops down to the floor where a 'BUCKET O' SOLDIERS' sits.,,,,,,,,,,,,,,,
64,"Once Mrs. Davis and the children are out of sight, the Sargent motions to his men with a silent hand signal. TWO PARATROOPERS jump out through the railing, parachuting down to the floor below.","MRS. DAVIS
	Okay, c'mon kids! Everyone in the living room. It's almost time for the presents.",Mrs. Davis leaves the room.,0,Mrs. Davis,leaves,go,fast ,short,Yes,Yes,room,,,,,,"Once Mrs. Davis and the children are out of sight, the Sargent motions to his men with a silent hand signal. TWO PARATROOPERS jump out through the railing, parachuting down to the floor below.",The children leave the room.,0,children,leave,go,fast ,short,Yes,Yes,room,,,,,,"Once Mrs. Davis and the children are out of sight, the Sargent motions to his men with a silent hand signal. TWO PARATROOPERS jump out through the railing, parachuting down to the floor below.",Sargent motions to his men with a silent hand signal.,1,Sargent,motions,wave,fast ,short,Yes,No,signal,men,,to his men,silently,,"Once Mrs. Davis and the children are out of sight, the Sargent motions to his men with a silent hand signal. TWO PARATROOPERS jump out through the railing, parachuting down to the floor below.",Two paratroopers jump out through the railing.,2,paratroopers,jump,jump,fast ,short,Yes,Yes,railing,,,through,,,"Once Mrs. Davis and the children are out of sight, the Sargent motions to his men with a silent hand signal. TWO PARATROOPERS jump out through the railing, parachuting down to the floor below.",Two paratroops parachute down to the floor below.,3,paratroopers,parachute,jump,slow,neutral,Yes,Yes,,,floor,down,,,"Once Mrs. Davis and the children are out of sight, the Sargent motions to his men with a silent hand signal. TWO PARATROOPERS jump out through the railing, parachuting down to the floor below.",,,,,,,,,,,,,,,,"Once Mrs. Davis and the children are out of sight, the Sargent motions to his men with a silent hand signal. TWO PARATROOPERS jump out through the railing, parachuting down to the floor below.",,,,,,,,,,,,,,,,"Once Mrs. Davis and the children are out of sight, the Sargent motions to his men with a silent hand signal. TWO PARATROOPERS jump out through the railing, parachuting down to the floor below.",,,,,,,,,,,,,,,,"Once Mrs. Davis and the children are out of sight, the Sargent motions to his men with a silent hand signal. TWO PARATROOPERS jump out through the railing, parachuting down to the floor below.",,,,,,,,,,,,,,,,"Once Mrs. Davis and the children are out of sight, the Sargent motions to his men with a silent hand signal. TWO PARATROOPERS jump out through the railing, parachuting down to the floor below.",,,,,,,,,,,,,,,,"Once Mrs. Davis and the children are out of sight, the Sargent motions to his men with a silent hand signal. TWO PARATROOPERS jump out through the railing, parachuting down to the floor below.",,,,,,,,,,,,,,,,"Once Mrs. Davis and the children are out of sight, the Sargent motions to his men with a silent hand signal. TWO PARATROOPERS jump out through the railing, parachuting down to the floor below.",,,,,,,,,,,,,,,
65,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",INT. DOWNSTAIRS HALLWAY - CONTINUOUS,The paratroopers sweep the area with their plastic rifles.,0,paratroopers,sweep,lookAround,neutral,neutral,Yes,No,area,plastic rifle,downstairs hallway,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",The paratroopers give the 'all clear' sign.,1,paratroopers,give,give,neutral,neutral,Yes,No,sign,,downstairs hallway,,all clear,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",Soldiers rappel down the lowered jump rope.,3,Soldiers,rappel,fall,neutral,neutral,Yes,Yes,jump rope,,,down,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,
66,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,"MRS. DAVIS (O.S.)
	Okay, who's hungry? Here come the chips. I've got Cool Ranch and Barbeque",The door opens.,0,door,opens,open,neutral,neutral,Yes,No,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,Mrs. Davis' foot comes down hard on top of a soldier.,1,foot,comes down,push,fast ,neutral,Yes,No,soldier,,,down,hard,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,
67,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.","INT. ANDY'S BEDROOM
		REX
	Shouldn't they be there by now? What's taking them so long?!
		WOODY
	Hey, these guys are professionals. They're the best. C'mon, they're not lying down on the job.
			INT. DOWNSTAIRS HALLWAY",Mom leaves the room.,0,mom,leaves,go,neutral,neutral,Yes,Yes,room,,,,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",Sargent motions for his men.,1,Sargent,motions,wave,fast ,short,Yes,No,men,,,,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",The men proceed toward a nearby houseplant.,2,men,proceed,goForward,neutral,neutral,Yes,Yes,houseplant,,downstairs hallway,toward,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",The houseplant looks into the living room.,2,houseplant,looks,sit,neutral,neutral,No,No,living room.,,,,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",The Sargent notices an injured soldier.,3,Sargent,notices,look,fast ,short,No,No,soldier,,,,injured,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",The injured soldier is struggling to drag himself forward.,3,soldier,drag,go,slow,long,Yes,Yes,himself,,,forward,struggling,struggling,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",The sargent helps the injured soldier to his feet.,4,Sargent,helps,touch,neutral,neutral,,,soldier,,,up,to his feet,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",,,,,,,,,,,,,,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",,,,,,,,,,,,,,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",,,,,,,,,,,,,,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",,,,,,,,,,,,,,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",,,,,,,,,,,,,,,
68,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",INT. DOWNSTAIRS - HOUSE PLANT - CONTINUOUS,The baby monitor is set in place.,0,baby monitor,set,sit,neutral,neutral,No,No,,,houseplant,,in place,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",A medic evaluates the wounded soldier.,0,medic,evaluates,lookAround,neutral,neutral,Yes,No,soldier,,houseplant,,wounded,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",A medic gives the 'thumbs up' signal.,1,medic,gives,wave,neutral,short,Yes,No,signal,,,,thumbs up,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",The sargent scans the party with his binoculars.,2,sargent,scans,lookAround,neutral,long,Yes,No,party,binoculars,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,
69,The pile of brightly wrapped gifts sits atop the living room coffee table.,ANGLE: BINOCULAR VIEW OF BIRTHDAY PRESENTS,The pile of brightly wrapped gifts sits atop the living room coffee table.,0,gifts,sits,sit,neutral,neutral,No,No,,,living room coffee table,atop,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,
