id,action block 1,context,simplified sentence 1,partial start time 1,owner 1,original action 1,most similar action 1,speed 1,duration 1,rotation 1,translation 1,target 1,prop 1,location modifier 1,direction modifier 1,manner 1,emotion 1,Action Block 2,simplified sentence 2,partial start time 2,owner 2,original action 2,most similar action 2,speed 2,duration 2,rotation 2,translation 2,target 2,prop 2,location modifier 2,direction modifier 2,manner 2,emotion 2,Action Block 3,simplified sentence 3,partial start time 3,owner 3,original action 3,most similar action 3,speed 3,duration 3,rotation 3,translation 3,target 3,prop 3,location modifier 3,direction modifier 3,manner 3,emotion 3,Action Block 4,simplified sentence 4,partial start time 4,owner 4,original action 4,most similar action 4,speed 4,duration 4,rotation 4,translation 4,target 4,prop 4,location modifier 4,direction modifier 4,manner 4,emotion 4,Action Block 5,simplified sentence 5,partial start time 5,owner 5,original action 5,most similar action 5,speed 5,duration 5,rotation 5,translation 5,target 5,prop 5,location modifier 5,direction modifier 5,manner 5,emotion 5,Action Block 6,simplified sentence 6,partial start time 6,owner 6,original action 6,most similar action 6,speed 6,duration 6,rotation 6,translation 6,target 6,prop 6,location modifier 6,direction modifier 6,manner 6,emotion 6,Action Block 7,simplified sentence 7,partial start time 7,owner 7,original action 7,most similar action 7,speed 7,duration 7,rotation 7,translation 7,target 7,prop 7,location modifier 7,direction modifier 7,manner 7,emotion 7,Action Block 8,simplified sentence 8,partial start time 8,owner 8,original action 8,most similar action 8,speed 8,duration 8,rotation 8,translation 8,target 8,prop 8,location modifier 8,direction modifier 8,manner 8,emotion 8,Action Block 9,simplified sentence 9,partial start time 9,owner 9,original action 9,most similar action 9,speed 9,duration 9,rotation 9,translation 9,target 9,prop 9,location modifier 9,direction modifier 9,manner 9,emotion 9,Action Block 10,simplified sentence 10,partial start time 10,owner 10,original action 10,most similar action 10,speed 10,duration 10,rotation 10,translation 10,target 10,prop 10,location modifier 10,direction modifier 10,manner 10,emotion 10,Action Block 11,simplified sentence 11,partial start time 11,owner 11,original action 11,most similar action 11,speed 11,duration 11,rotation 11,translation 11,target 11,prop 11,location modifier 11,direction modifier 11,manner 11,emotion 11,Action Block 12,simplified sentence 12,partial start time 12,owner 12,original action 12,most similar action 12,speed 12,duration 12,rotation 12,translation 12,target 12,prop 12,location modifier 12,direction modifier 12,manner 12,emotion 12
65,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",INT. DOWNSTAIRS HALLWAY - CONTINUOUS,The paratroopers sweep the area with the paratroopers plastic rifles.,0,Paratroopers.,Sweep.,search,fast ,neutral,Yes,Yes,Area.,Plastic rifles.,Downstairs hallway.,Null.,Null.,Null.,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",The paratroopers give the 'all clear' sign.,1,Paratroopers.,Give.,give,fast ,short,Yes,No,Null.,Null.,Downstairs hallway.,Null.,Null.,Null.,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",The jump rope is lowered.,2,Jump rope.,Lowered.,fall,fast ,short,Yes,No,Null.,Null.,Downstairs hallway.,Down.,Null.,Null.,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",More soldiers rappel down the jump rope.,3,Soldiers.,Rappel.,go,fast ,short,Yes,Yes,Jump rope.,Null.,Downstairs hallway.,Down.,Null.,Null.,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,,"The paratroopers sweep the area with their plastic rifles, then give the 'all clear' sign. The jump rope is lowered, and more soldiers rappel down.",,,,,,,,,,,,,,,
66,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,"MRS. DAVIS (O.S.)
	Okay, who's hungry? Here come the chips. I've got Cool Ranch and Barbeque",The door opens.,0,Door.,Opens.,open,fast ,short,Yes,No,Null.,Null.,Through the door.,Null.,Null.,Null.,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,Mrs. Davis' foot comes down hard on top of a soldier.,0,Mrs. Davis' foot.,Comes.,go,fast ,short,Yes,No,Soldier.,Null.,Through the door.,Down.,Hard.,Null.,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,,The door opens and Mrs. Davis' foot comes down hard on top of a soldier.,,,,,,,,,,,,,,,
67,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.","INT. ANDY'S BEDROOM
		REX
	Shouldn't they be there by now? What's taking them so long?!
		WOODY
	Hey, these guys are professionals. They're the best. C'mon, they're not lying down on the job.
			INT. DOWNSTAIRS HALLWAY",Mom leaves.,0,Mom.,Leaves.,go,neutral,neutral,Yes,Yes,Null.,Null.,Downstairs hallway.,Null.,Null.,Null.,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",The Sargent motions to Sargent's men.,0,Sargent.,Motions,nod,fast ,short,Yes,No,Sargent's men.,Null.,Downstairs hallway.,To Sargent's men.,Null.,Null.,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",Sargent's men proceed toward a nearby houseplant.,1,Sargent's men.,Proceed.,go,neutral,neutral,Yes,Yes,Houseplant.,Null.,Downstairs hallway.,Towards a houseplant that looks into the living room.,Null.,Null.,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",The Sargent notices an injured soldier.,2,Sargent.,Notices.,look,neutral,neutral,Yes,No,Soldier.,Null.,Downstairs hallway.,Null.,Null.,Null.,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",The injured soldier drags the injured soldier forward.,1,Soldier.,Drags.,crawl,slow,long,Yes,Yes,Null.,Null.,Downstairs hallway.,Forward.,Struggling.,Null.,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",The Sargent helps the injured soldier to the injured soldier's feet.,3,Sargent.,Helps.,,neutral,short,Yes,No,Soldier.,Null.,Downstairs hallway.,Null.,Null.,Null.,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",,,,,,,,,,,,,,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",,,,,,,,,,,,,,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",,,,,,,,,,,,,,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",,,,,,,,,,,,,,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",,,,,,,,,,,,,,,,"As soon as Mom is gone, the Sargent motions for his men to proceed toward a nearby houseplant that looks into the living room. The Sargent then notices an injured soldier struggling to drag himself forward a casualty of Mrs. Davis' foot. The Sargent helps the injured soldier to his feet.",,,,,,,,,,,,,,,
68,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",INT. DOWNSTAIRS - HOUSE PLANT - CONTINUOUS,The baby monitor is set in place.,0,Baby monitor.,Set.,,neutral,neutral,Yes,No,Null.,Null.,Downstairs.,Null.,Null.,Null.,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",A MEDIC evaluates the wounded soldier.,0,MEDIC.,Evaluates.,look,neutral,short,Yes,No,Soldier.,Null.,Downstairs.,Null.,Null.,Null.,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",A MEDIC gives the 'thumb's up' signal.,0,MEDIC.,Gives.,give,fast ,short,Yes,No,Null.,Null.,Downstairs.,Null.,Null.,Null.,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",The Sargent scans the party with Sargent's binoculars.,1,Sargent.,Scans.,lookAround,neutral,long,Yes,No,Party.,Binoculars.,Downstairs.,Null.,Null.,Null.,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,,"While the baby monitor is set in place, A MEDIC evaluates the wounded soldier and gives the 'thumb's up' signal. The Sargent scans the party with his binoculars.",,,,,,,,,,,,,,,
69,The pile of brightly wrapped gifts sits atop the living room coffee table.,ANGLE: BINOCULAR VIEW OF BIRTHDAY PRESENTS,The pile of brightly wrapped gifts sits atop the living room coffee table.,0,Gifts.,Sits.,sit,neutral,neutral,No,No,Coffee table.,Binoculars.,Living room.,Through binoculars.,Null.,Null.,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,,The pile of brightly wrapped gifts sits atop the living room coffee table.,,,,,,,,,,,,,,,
70,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.","HAMM
	Yeah, alright!!",Hamm pats Potato Head on the back.,0,Hamm.,Pats.,hit,fast ,short,Yes,No,Potato Head.,Null.,Null.,To Potato Head's back.,Congratulatory.,Null.,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",Potato Head's facial features fly.,0,Potato Head.,Fly.,fly,fast ,short,Yes,No,Facial features.,Null.,Null.,Null.,Null.,Null.,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,,"Hamm gives Potato Head a congratulatory pat on the back, sending his facial features flying.",,,,,,,,,,,,,,,
71,Mrs. Davis can be seen opening the closet and pulling out another large present.,ANGLE: BINOCULAR VIEW OF LIVING ROOM,Mrs. Davis opens the closet.,0,Mrs. Davis.,Opens.,open,neutral,short,Yes,No,Closet.,Binoculars.,Living room.,Through binoculars.,Null.,Null.,Mrs. Davis can be seen opening the closet and pulling out another large present.,Mrs. Davis pulls out another large present.,1,Mrs. Davis.,Pulls.,,neutral,neutral,Yes,No,Large present.,Binoculars.,Living room.,Through binoculars.,Null.,Null.,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,,Mrs. Davis can be seen opening the closet and pulling out another large present.,,,,,,,,,,,,,,,
72,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.","SARGENT (O.S.)
continued
	Mom has pulled a surprise present from the closet. Andy's opening it...
			INT. DOWNSTAIRS - HOUSE PLANT - CONTINUOUS
		SARGENT
	He's really excited about this one. It's a huge package. Oh get out one of the kids is in the way, I can't see...
			INT. ANDY'S BEDROOM - CONTINUOUS
		SARGENT (O.S.)
from monitor
	...it's...it's a",Children cheer.,0,Children.,Cheer.,cheer,neutral,neutral,No,No,Null.,Monitor.,Downstairs.,Through the monitor.,Null.,Null.,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",The sound of the children emits from the monitor.,0,Children.,Emits.,,neutral,neutral,No,No,Null.,Monitor.,Andy's bedroom.,Through the monitor.,Null.,Null.,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",The sound cuts off the Sargent.,0,Sound.,Cuts.,cut,fast ,neutral,No,No,Sargent.,Monitor.,Andy's bedroom.,Through the monitor.,Null.,Null.,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,,"The sound of children CHEERING emits from the monitor, cutting off the Sargent.",,,,,,,,,,,,,,,
73,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,"REX
	Oh, no!
		MR. POTATO HEAD
	Oh, ya big lizard! Now we'll never know what it is!
		HAMM
sarcastic
	Way to go, Rex.",Everyone rushes to the fallen monitor.,0,Everyone.,Rushes.,go,fast ,short,Yes,Yes,Monitor.,Null.,Null.,Towards the fallen monitor.,Null.,Null.,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,Potato Head inserts the monitor's batteries.,1,Potato Head.,Inserts.,push,neutral,neutral,Yes,No,Monitor.,Batteries.,Null.,Null.,Null.,Null.,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,,Everyone rushes to the fallen monitor. Potato Head tries to correctly insert the batteries.,,,,,,,,,,,,,,,
74,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,"WOODY
	No, no! Turn 'em around, turn 'em around!
		HAMM
	Eh, he's puttin' 'em in backwards!
		WOODY
	Plus is positive, minus is negative! Oh, let me!",Woody jumps down off the bed.,0,Woody.,Jumps.,jump,fast ,short,Yes,Yes,Null.,Null.,Off the bed.,Down.,Null.,Null.,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,Woody shoves Hamm aside.,1,Woody.,Shoves.,push,fast ,short,Yes,No,Hamm.,Null.,Null.,Aside.,Null.,Null.,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,Woody shoves Potato Head aside.,1,Woody.,Shoves.,push,fast ,short,Yes,No,Potato Head.,Null.,Null.,Aside.,Null.,Null.,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,,Woody jumps down off the bed and shoves both Hamm and Potato Head aside.,,,,,,,,,,,,,,,
75,The kids rush past the houseplant.,"INT. LIVING ROOM
		ANDY
	Let's go to my room, guys!",The kids rush past the houseplant.,0,Kids.,Rush.,go,fast ,neutral,Yes,Yes,Null.,Houseplant.,Living room.,Past the houseplant.,Null.,Null.,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,,The kids rush past the houseplant.,,,,,,,,,,,,,,,
76,Woody crawls out from under the bed. The toys are shocked to discover him there.,"MR. POTATO HEAD
	What is it?
		BO PEEP
	Can you see it?
		SLINKY
	What the heck is up there?
		REX
	Woody? Who's up there with you?",Woody crawls out from under the bed.,0,Woody.,Crawls.,crawl,slow,neutral,Yes,Yes,Bed.,Null.,Under the bed.,Null.,Null.,Null.,Woody crawls out from under the bed. The toys are shocked to discover him there.,The toys discover Woody under the bed.,0,Toys.,Discover.,look,neutral,neutral,No,No,Woody.,Null.,Under the bed.,Null.,Null.,Shocked.,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,,Woody crawls out from under the bed. The toys are shocked to discover him there.,,,,,,,,,,,,,,,
77,The toys give each other a look of doubt.,"SLINKY
	Woody, what are you doing under the bed?
		WOODY
composing himself
	Uh-h-h-h...nothing! Uh, nothing. I'm sure Andy was just a little excited, that's all. Too much cake and ice cream, I suppose. It's just a mistake.
		MR. POTATO HEAD
	Well, that MISTAKE is sitting in your spot, Woody.
		REX
GASP!
	Have you been replaced?
		WOODY
	Hey! What did I tell you earlier? No one is getting replaced.",The toys give each other a look of doubt.,0,Toys.,Give.,give,neutral,short,No,No,Null.,Null.,Null.,To other toys.,Null.,Doubt.,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,,The toys give each other a look of doubt.,,,,,,,,,,,,,,,
78,Nothing. He pushes the button again.,"SFX: ELECTRONIC BEEP
		BUZZ
	Buzz Lightyear to Star Command. Come in, Star Command.",Buzz Lightyear pushes the button again.,0,Buzz Lightyear.,Pushes.,push,fast ,short,Yes,No,Button.,Null.,Null.,Null.,Null.,Null.,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,,Nothing. He pushes the button again.,,,,,,,,,,,,,,,
79,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.","BUZZ
	Star Command - come in. Do you read me?
to himself
	Why don't they answer?!!",Buzz catches sight of his ripped packaging.,0,Buzz.,Catches.,look,neutral,neutral,Yes,No,Box.,Box designed to look like a spaceship.,Null.,Null.,Null.,Null.,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,,"Just then, Buzz catches sight of his ripped packaging. The box is designed to look like a spaceship.",,,,,,,,,,,,,,,
